subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
5,passive,26,495,model3,4,-992.205,-230.314,0,1400,682,165,2.19576,1.60004,-0.389436,1.57038,-3.72947,-0.202046,1.03186
5,passive,27,525,model0,0,-974.565,-245.925,1,238,689,158,0.995547,-0.149739,,,,,
5,passive,27,525,model0,1,-983.428,-236.619,1,92,679,168,1.02985,-0.161992,,,,,
5,passive,27,525,model0,2,-967.27,-253.078,1,82,668,179,1.0295,-0.179057,,,,,
5,passive,27,525,model0,3,-970.125,-250.121,1,85,670,177,1.02941,-0.12156,,,,,
5,passive,27,525,model0,4,-982.977,-237.093,1,109,682,165,1.02262,-0.128626,,,,,
5,passive,27,525,model2B,0,-957.541,-245.517,0,1200,689,158,2.76565,10.9397,0.447446,-0.00383066,0.970688,0.0809292,
5,passive,27,525,model2B,1,-970.482,-232.83,0,1200,679,168,7.68482,0.218627,2.88087,-0.0744558,0.998749,0.153348,
5,passive,27,525,model2B,2,-952.244,-250.448,0,1200,668,179,2.85098,11.2115,0.453558,0.0170899,1.00966,0.0617368,
5,passive,27,525,model2B,3,-955.258,-248.409,0,1200,670,177,3.83791,0.154957,3.2857,0.0200238,1.00948,0.197743,
5,passive,27,525,model2B,4,-970.474,-233.405,0,1200,682,165,12.2271,0.351146,9.39331,-0.07151,0.994995,0.213567,
5,passive,27,525,model3,0,-959.588,-244.499,0,1400,689,158,-0.456237,1.07805,-0.419118,-1.64092,2.13667,0.297332,0.973482
5,passive,27,525,model3,1,-970.796,-232.517,0,1400,679,168,1.52423,1.08347,-0.415556,1.19029,-2.72447,-0.135671,1.00549
5,passive,27,525,model3,2,-953.028,-251.762,0,1400,668,179,3.57822,1.34164,-0.420961,-1.14695,3.20248,-0.2687,0.957399
5,passive,27,525,model3,3,-955.208,-248.871,0,1400,670,177,1.65141,0.501812,-0.456702,0.888406,-1.76509,-0.222548,0.980083
5,passive,27,525,model3,4,-969.608,-232.528,0,1400,682,165,2.83379,44.8875,-0.317782,-0.781689,1.43128,0.319895,1.00278
5,passive,28,555,model0,0,-941.3,-229.987,1,76,689,158,0.948572,-0.0823663,,,,,
5,passive,28,555,model0,1,-929.465,-241.862,1,77,679,168,0.951137,-0.108939,,,,,
5,passive,28,555,model0,2,-935.393,-236.091,1,77,668,179,0.981546,-0.112552,,,,,
5,passive,28,555,model0,3,-935.482,-235.78,1,69,670,177,0.977542,-0.0772173,,,,,
5,passive,28,555,model0,4,-941.314,-229.827,1,112,682,165,0.961997,-0.0752026,,,,,
5,passive,28,555,model2B,0,-929.711,-229.216,0,1200,689,158,-3.1963,0.514656,3.21598,-0.217907,0.915484,0.0929525,
5,passive,28,555,model2B,1,-919.543,-239.303,0,1200,679,168,-9.53867,0.256138,8.13541,-0.10853,0.925708,0.090702,
5,passive,28,555,model2B,2,-925.823,-233.183,0,1200,668,179,1.42792,0.803394,0.60994,-0.263712,0.942521,0.0754315,
5,passive,28,555,model2B,3,-923.833,-234.963,0,1200,670,177,-4.37182,0.408645,4.14232,-0.142005,0.95012,0.123818,
5,passive,28,555,model2B,4,-932.247,-226.897,0,1200,682,165,-204.619,0.00516181,86.3797,-0.271372,0.92982,0.139331,
5,passive,28,555,model3,0,-928.963,-230.758,0,1400,689,158,2.52884,14.4039,-0.256597,0.0434702,0.370185,-1.72005,0.931893
5,passive,28,555,model3,1,-919.337,-240.162,0,1400,679,168,-8.48397,2.01252,-0.401291,1.24662,-4.42799,-0.0774307,0.937179
5,passive,28,555,model3,2,-925.395,-235.084,0,1400,668,179,2.65958,4.68623,-0.303021,-4.11809,8.59173,-0.0294226,0.959733
5,passive,28,555,model3,3,-923.997,-235.528,0,1400,670,177,0.664537,0.970498,-0.396373,-0.909037,1.75087,0.0886991,0.952464
5,passive,28,555,model3,4,-933.515,-227.026,0,1400,682,165,2.18374,3.82463,-0.225096,0.357412,-0.93348,-0.429445,0.950818
5,passive,29,585,model0,0,-899.929,-229.503,1,276,689,158,0.893303,-0.0822377,,,,,
5,passive,29,585,model0,1,-902.107,-226.729,1,80,679,168,0.913593,-0.081339,,,,,
5,passive,29,585,model0,2,-906.668,-222.751,1,78,668,179,0.940215,-0.0960609,,,,,
5,passive,29,585,model0,3,-896.564,-232.343,1,81,670,177,0.922412,-0.0709267,,,,,
