subject,level,n,mean_audib,sd_audib,median_audib,p_heard30,accuracy
18,5,158,1.3734,1.574,0.5,0.27215,2.4873
18,6,157,1.3121,1.5395,1,0.23567,2.4841
18,7,159,1.3333,1.5454,0,0.25786,2.5094
19,1,139,1.1151,1.2858,1,0.11511,2.4317
19,2,142,0.96479,1.068,1,0.06338,2.493
19,3,147,1.068,1.2533,1,0.12245,2.4966
19,4,142,0.99296,1.133,0.5,0.084507,2.4718
19,5,143,1.0559,1.2378,0,0.13986,2.5035
19,6,141,1.0922,1.2124,1,0.13475,2.4752
19,7,145,0.95862,1.1479,1,0.096552,2.4483
20,1,154,1.2143,1.3813,0.5,0.27273,2.5
20,2,156,1.2179,1.3692,1,0.28846,2.4936
20,3,155,1.1742,1.3777,0,0.25806,2.5032
20,4,156,1.2436,1.3883,1,0.28846,2.5128
20,5,158,1.0949,1.3297,1,0.24051,2.5063
20,6,152,1.1645,1.3541,1,0.24342,2.5066
20,7,157,1.172,1.3783,1,0.26115,2.4904
