variant,subject,t_ms,model,fold,base_train,base_test,base_converged,base_nfev,base_negative_scale_evals,ext_train,ext_test,ext_converged,ext_nfev,ext_negative_scale_evals,n_test
active,2,255,model2B,0,-1118.3015,-315.30493,0,1200,0,-1117.7752,-315.68185,1,1507,0,179
active,2,255,model2B,1,-1163.4892,-269.73437,0,1200,0,-1163.4839,-269.67374,1,277,0,167
active,2,255,model2B,2,-1157.6084,-275.07483,1,1117,0,-1157.6084,-275.07483,1,188,0,167
active,2,255,model2B,3,-1148.7881,-284.1953,1,805,0,-1148.7881,-284.1953,1,198,0,171
active,2,255,model2B,4,-1137.9643,-295.95407,1,1084,0,-1137.9643,-295.95425,1,191,0,184
active,2,255,model3,0,-1113.2516,-315.8912,1,815,0,-1112.1615,-316.93467,1,1306,0,179
active,2,255,model3,1,-1158.6397,-270.20932,1,1082,0,-1158.6397,-270.2093,1,253,0,167
active,2,255,model3,2,-1155.3501,-272.96445,1,529,0,-1154.1839,-273.63882,1,1945,0,167
active,2,255,model3,3,-1145.1469,-282.88834,0,1400,0,-1144.8389,-282.87616,1,1213,0,171
active,2,255,model3,4,-1135.553,-294.67629,1,607,0,-1135.2303,-294.56213,1,2233,0,184
active,2,285,model2B,0,-1052.7858,-297.52102,0,1200,0,-1052.7858,-297.52187,1,177,0,179
active,2,285,model2B,1,-1087.2392,-263.7602,0,1200,0,-1086.9927,-263.19505,1,1105,0,167
active,2,285,model2B,2,-1090.8599,-258.6505,0,1200,0,-1090.4764,-258.65299,0,14000,0,167
active,2,285,model2B,3,-1088.5376,-260.90729,0,1200,0,-1088.5186,-260.99176,0,14000,0,171
active,2,285,model2B,4,-1074.5507,-277.01686,0,1200,0,-1074.5196,-276.97067,1,3246,0,184
active,2,285,model3,0,-1050.7378,-296.70313,1,702,0,-1050.7093,-296.74907,1,6962,0,179
active,2,285,model3,1,-1084.3402,-263.50459,1,696,0,-1084.0433,-264.25624,1,1782,0,167
active,2,285,model3,2,-1089.5877,-257.56453,1,816,0,-1089.5876,-257.56461,0,14000,0,167
active,2,285,model3,3,-1085.6903,-261.41752,1,709,0,-1085.6732,-261.47007,0,14000,0,171
active,2,285,model3,4,-1072.0418,-276.30391,1,785,0,-1072.0198,-276.35988,1,844,0,184
active,2,315,model2B,0,-1121.1125,-320.29739,0,1200,0,-1121.1125,-320.30019,1,226,0,179
active,2,315,model2B,1,-1158.6309,-281.8394,0,1200,0,-1158.618,-281.86186,0,14000,0,167
active,2,315,model2B,2,-1165.0912,-274.07286,0,1200,0,-1165.0587,-274.11105,0,14000,0,167
active,2,315,model2B,3,-1156.827,-282.91537,0,1200,0,-1156.7977,-282.92266,0,14000,0,171
active,2,315,model2B,4,-1150.3842,-289.83009,0,1200,0,-1150.3842,-289.83033,1,355,0,184
active,2,315,model3,0,-1120.4854,-319.89632,1,679,0,-1120.4826,-319.85524,1,11551,0,179
active,2,315,model3,1,-1158.1389,-281.87205,0,1400,0,-1158.1301,-281.80183,1,12714,0,167
active,2,315,model3,2,-1164.776,-273.84439,0,1400,0,-1164.7334,-273.88603,1,13868,0,167
active,2,315,model3,3,-1156.2237,-282.89152,0,1400,0,-1156.2072,-282.87299,0,14000,0,171
active,2,315,model3,4,-1149.4959,-290.36876,0,1400,0,-1149.4607,-290.31154,0,14000,0,184
active,2,435,model2B,0,-1137.8465,-314.1671,0,1200,0,-1137.8459,-314.19337,1,221,0,179
active,2,435,model2B,1,-1180.3725,-270.23388,1,1122,0,-1180.3725,-270.23395,1,196,0,167
active,2,435,model2B,2,-1184.1221,-267.08339,1,1031,0,-1184.1221,-267.08343,1,190,0,167
active,2,435,model2B,3,-1164.599,-287.25136,1,1021,0,-1164.599,-287.25136,1,181,0,171
active,2,435,model2B,4,-1128.7296,-324.82257,0,1200,0,-1128.7296,-324.82262,1,226,0,184
active,2,435,model3,0,-1137.4058,-314.05499,0,1400,0,-1137.3802,-313.71785,1,1292,0,179
active,2,435,model3,1,-1180.3412,-270.83804,1,701,0,-1180.3394,-270.85051,0,14000,0,167
active,2,435,model3,2,-1184.2131,-267.27352,1,635,0,-1183.8157,-267.03835,0,14000,0,167
active,2,435,model3,3,-1163.9726,-288.15411,1,422,0,-1163.9726,-288.15404,1,206,0,171
active,2,435,model3,4,-1130.5365,-320.97043,0,1400,0,-1130.5365,-320.97062,1,662,0,184
active,2,465,model2B,0,-1173.7617,-312.67526,1,885,0,-1173.7614,-312.68252,1,721,0,179
active,2,465,model2B,1,-1210.5929,-275.15449,1,1133,0,-1210.5929,-275.15449,1,187,0,167
active,2,465,model2B,2,-1214.3464,-272.27147,0,1200,0,-1214.34,-272.30455,0,14000,0,167
active,2,465,model2B,3,-1187.0255,-299.5729,0,1200,0,-1187.021,-299.59325,0,14000,0,171
active,2,465,model2B,4,-1150.9524,-337.47329,0,1200,0,-1150.9506,-337.48129,1,250,0,184
active,2,465,model3,0,-1173.0623,-312.30326,0,1400,0,-1173.0615,-312.29748,0,14000,0,179
active,2,465,model3,1,-1209.7277,-275.39306,1,1287,0,-1209.7277,-275.39306,1,272,0,167
active,2,465,model3,2,-1213.8302,-272.10836,0,1400,0,-1213.8249,-272.07507,1,13644,0,167
