subject,window,t_ms,model0,model2B,model3
3,24,435,-327.28,-315.811,-315.268
3,25,465,-330.641,-318.754,-318.411
3,26,495,-322.825,-313.901,-313.374
3,27,525,-315.598,-305.088,-305.049
3,28,555,-320.784,-310.03,-309.791
3,29,585,-305.389,-294.706,-294.625
3,30,615,-280.276,-273.264,-272.942
3,31,645,-273.639,-267.785,-267.17
3,32,675,-282.632,-273.285,-273.663
3,33,705,-283.162,-274.851,-274.449
3,34,735,-262.699,-258.631,-258.685
3,35,765,-245.631,-242.718,-242.205
3,36,795,-256.756,-252.944,-252.571
3,37,825,-266.82,-262.544,-262.811
3,38,855,-262.44,-259.322,-259.536
3,39,885,-251.417,-249.274,-249.154
3,40,915,-233.166,-230.66,-230.652
3,41,945,-220.573,-219.129,-218.989
3,42,975,-219.358,-219.498,-219.072
3,43,1005,-217.143,-217.701,-217.148
3,44,1035,-219.304,-219.126,-219.191
3,45,1065,-213.32,-213.054,-212.665
3,46,1095,-205.174,-205.155,-205.62
3,47,1125,-203.162,-202.976,-203.618
3,48,1155,-203.216,-203.409,-203.367
3,49,1185,-184.189,-184.724,-184.335
3,50,1215,-184.439,-185.212,-184.75
3,51,1245,-204.038,-203.952,-204.022
3,52,1275,-184.732,-184.895,-184.927
4,0,-285,-136.069,-136.177,-136.706
4,1,-255,-134.286,-134.505,-134.525
4,2,-225,-119.982,-120.293,-120.413
4,3,-195,-113.918,-113.859,-114.728
4,4,-165,-114.95,-114.733,-115.571
4,5,-135,-118.848,-118.574,-119.101
4,6,-105,-132.573,-132.777,-132.486
4,7,-75,-137.215,-137.447,-137.292
4,8,-45,-154.158,-153.79,-153.957
4,9,-15,-165.439,-165.722,-166.203
4,10,15,-179.251,-179.17,-179.631
4,11,45,-177.589,-177.795,-177.878
4,12,75,-161.453,-161.304,-161.545
4,13,105,-163.365,-163.473,-163.579
4,14,135,-173.988,-173.826,-174.012
4,15,165,-195.637,-194.65,-194.8
4,16,195,-217.332,-214.512,-214.178
