subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,active,2,-225,model3,3,-487.21,-166.917,0,1400,669,178,-0.446153,1.51827,0.0197421,-0.295914,0.439282,0.408157,0.500797
1,active,2,-225,model3,4,-518.928,-134.333,0,1400,661,186,-56.3184,0.0554279,0.0363143,-0.780057,1.0171,0.0251967,0.530339
1,active,3,-195,model0,0,-500.644,-119.304,1,349,681,166,0.504692,0.0216264,,,,,
1,active,3,-195,model0,1,-494.726,-125.426,1,78,679,168,0.501428,0.0394133,,,,,
1,active,3,-195,model0,2,-507.526,-113.885,1,69,698,149,0.50068,-0.00272222,,,,,
1,active,3,-195,model0,3,-476.666,-143.906,1,90,669,178,0.493411,0.0415597,,,,,
1,active,3,-195,model0,4,-497.551,-122.857,1,87,661,186,0.513659,0.0369578,,,,,
1,active,3,-195,model2B,0,-500.311,-118.893,0,1200,681,166,-328.68,0.00292239,15.8042,-0.0371062,0.505214,0.0446563,
1,active,3,-195,model2B,1,-494.235,-124.95,0,1200,679,168,-118.227,0.00775298,6.94065,-0.186423,0.508412,0.0667225,
1,active,3,-195,model2B,2,-506.099,-113.599,0,1200,698,149,10.5319,0.251357,0.55708,-0.539798,0.499271,0.0414493,
1,active,3,-195,model2B,3,-471.562,-149.058,0,1200,669,178,3.4594,2.82785,0.0842985,-1.08991,0.536374,0.0961997,
1,active,3,-195,model2B,4,-496.542,-122.716,0,1200,661,186,10.2453,0.0222427,1.80635,-0.985844,0.549577,0.0619752,
1,active,3,-195,model3,0,-498.986,-119.932,0,1400,681,166,5.87874,-0.137933,0.0592823,-0.147657,0.510439,0.368697,0.501339
1,active,3,-195,model3,1,-494.052,-124.866,1,998,679,168,-0.0765684,0.203731,0.0300119,-0.226594,0.34128,0.480847,0.500669
1,active,3,-195,model3,2,-502.946,-114.703,0,1400,698,149,-0.480623,-0.895186,0.0361398,-1.31229,4.22552,-0.787146,0.471056
1,active,3,-195,model3,3,-476.199,-144.205,0,1400,669,178,-80.4967,0.0455299,0.0220326,-0.830161,1.08404,0.0172257,0.493183
1,active,3,-195,model3,4,-496.914,-122.294,0,1400,661,186,11.4161,-0.348365,0.0443446,-0.0454267,0.742673,0.253595,0.514067
1,active,4,-165,model0,0,-465.032,-124.008,1,89,681,166,0.478986,0.0166543,,,,,
1,active,4,-165,model0,1,-475.536,-113.39,1,85,679,168,0.487457,0.0173521,,,,,
1,active,4,-165,model0,2,-495.241,-94.4926,1,60,698,149,0.491895,-0.000823486,,,,,
1,active,4,-165,model0,3,-453.778,-135.743,1,103,669,178,0.476846,0.0328568,,,,,
1,active,4,-165,model0,4,-464.534,-124.579,1,95,661,186,0.488658,0.0282788,,,,,
1,active,4,-165,model2B,0,-464.756,-124.762,0,1200,681,166,41.2379,0.0332703,0.358176,2.36275,0.440296,0.0214213,
1,active,4,-165,model2B,1,-475.4,-113.28,0,1200,679,168,-20.1458,0.148353,0.936521,-0.597713,0.494998,0.0271107,
1,active,4,-165,model2B,2,-495.15,-94.439,1,1117,698,149,1.57509,0.0394539,0.209526,-1.39671,0.490726,0.00434994,
1,active,4,-165,model2B,3,-452.664,-137.471,0,1200,669,178,-154.262,0.00974793,1.69312,-4.18586,0.617474,0.0397348,
1,active,4,-165,model2B,4,-463.16,-124.59,0,1200,661,186,-2.78714,2.40746,-2.01275,25.2233,-0.161078,0.0252916,
1,active,4,-165,model3,0,-463.971,-124.879,0,1400,681,166,-58.9638,-0.0532751,0.0385701,-0.462988,-0.259286,0.136707,0.460856
