subject,window,t_ms,model0,model2B,model3
10,20,315,-262.975,-251.333,-250.541
10,21,345,-288.827,-275.75,-275.318
10,22,375,-296.739,-284.534,-284.699
10,23,405,-289.036,-275.012,-275.541
10,24,435,-283.025,-271.944,-272.546
10,25,465,-252.614,-245.362,-245.74
10,26,495,-230.434,-226.909,-227.879
10,27,525,-229.311,-225.943,-226.996
10,28,555,-209.309,-206.455,-206.559
10,29,585,-184.532,-183.543,-183.708
10,30,615,-198.786,-198.812,-198.883
10,31,645,-206.844,-207.266,-206.971
10,32,675,-197.939,-197.908,-197.525
10,33,705,-196.953,-196.64,-197.102
10,34,735,-197.573,-197.576,-197.931
10,35,765,-176.201,-176.864,-176.616
10,36,795,-164.34,-164.469,-165.519
10,37,825,-172.647,-172.965,-173.275
10,38,855,-171.844,-171.739,-171.844
10,39,885,-165.135,-165.252,-165.117
10,40,915,-160.062,-159.869,-159.3
10,41,945,-155.511,-156.253,-155.642
10,42,975,-154.263,-155.091,-154.483
10,43,1005,-159.283,-159.599,-159.309
10,44,1035,-171.712,-171.327,-171.541
10,45,1065,-171.628,-171.529,-171.4
10,46,1095,-171.677,-172.219,-172.078
10,47,1125,-176.878,-176.659,-177.198
10,48,1155,-182.254,-181.96,-181.998
10,49,1185,-195.174,-194.725,-195.384
10,50,1215,-207.442,-206.477,-207.181
10,51,1245,-213.726,-212.395,-212.872
10,52,1275,-199.017,-198.558,-199.359
11,0,-285,-137.707,-137.151,-137.724
11,1,-255,-147.476,-147.524,-147.964
11,2,-225,-151.557,-151.504,-152.343
11,3,-195,-149.387,-150.157,-149.674
11,4,-165,-141.504,-142.19,-140.887
11,5,-135,-156.261,-156.363,-156.94
11,6,-105,-176.424,-176.565,-176.621
11,7,-75,-156.63,-156.815,-156.89
11,8,-45,-156.782,-156.908,-157.206
11,9,-15,-176.053,-176.182,-176.467
11,10,15,-181.094,-181.351,-181.428
11,11,45,-187.266,-187.325,-186.702
11,12,75,-176.998,-177.198,-176.685
11,13,105,-172.198,-172.192,-171.933
11,14,135,-178.722,-178.833,-179.027
11,15,165,-197.144,-197.1,-196.43
11,16,195,-191.156,-191.174,-191.027
11,17,225,-186.049,-186.463,-186.141
11,18,255,-206.075,-206.382,-206.12
11,19,285,-232.624,-231.013,-231.339
