subject,window,t_ms,model0,model2B,model3
3,24,435,-261.063,-252.878,-252.969
3,25,465,-263.938,-256.886,-256.43
3,26,495,-265.649,-260.986,-261.899
3,27,525,-250.473,-247.093,-247.91
3,28,555,-240.651,-238.074,-239.125
3,29,585,-240.249,-238.561,-239.938
3,30,615,-224.457,-223.693,-224.419
3,31,645,-215.856,-215.47,-215.708
3,32,675,-211.808,-211.555,-211.705
3,33,705,-207.942,-207.945,-207.851
3,34,735,-218.665,-218.668,-218.621
3,35,765,-213.938,-213.947,-213.502
3,36,795,-198.011,-197.696,-197.249
3,37,825,-198.238,-198.611,-198.516
3,38,855,-187.359,-187.19,-187.656
3,39,885,-179.094,-179.177,-179.262
3,40,915,-187.91,-188.162,-188.392
3,41,945,-184.802,-184.694,-185.159
3,42,975,-164.074,-164.453,-164.292
3,43,1005,-162.735,-162.523,-162.914
3,44,1035,-157.817,-158.084,-158.257
3,45,1065,-143.8,-144.512,-144.587
3,46,1095,-147.917,-148.09,-148.266
3,47,1125,-149.983,-149.567,-149.816
3,48,1155,-156.007,-155.818,-156.047
3,49,1185,-172.394,-172.989,-172.603
3,50,1215,-172.99,-173.769,-173.219
3,51,1245,-154.498,-154.419,-153.289
3,52,1275,-143.809,-143.735,-143.786
4,0,-285,-86.4549,-86.3287,-86.3202
4,1,-255,-90.7233,-90.7975,-90.5465
4,2,-225,-87.2446,-87.3432,-87.4655
4,3,-195,-78.0048,-77.731,-77.6647
4,4,-165,-80.4422,-79.4599,-79.3667
4,5,-135,-114.208,-114.57,-114.54
4,6,-105,-144.661,-144.876,-145.127
4,7,-75,-127.758,-127.751,-128.244
4,8,-45,-106.338,-106.398,-106.65
4,9,-15,-125.72,-125.608,-126.088
4,10,15,-160.208,-159.744,-159.584
4,11,45,-161.962,-161.011,-161.294
4,12,75,-131.707,-132.024,-131.731
4,13,105,-127.63,-127.707,-128.108
4,14,135,-149.722,-150.202,-151.1
4,15,165,-171.052,-170.408,-170.928
4,16,195,-189.866,-187,-188.223
4,17,225,-191.12,-187.45,-187.731
4,18,255,-214.228,-211.371,-211.165
4,19,285,-206.738,-203.224,-203.282
4,20,315,-205.518,-202.683,-202.315
4,21,345,-229.093,-225.611,-225.797
4,22,375,-239.464,-234.16,-233.844
4,23,405,-226.294,-218.196,-218.724
4,24,435,-225.841,-221.136,-220.923
4,25,465,-227.985,-224.631,-224.857
