t_ms,r_sd_mean,r_sd_sem,t_sd,p_sd,p_sd_fdr,r_mean_mean,r_mean_sem,t_mean,p_mean,p_mean_fdr
-24,0.03767,0.1137,0.3312,0.372,0.9881,0.2878,0.1133,2.541,0.009965,0.01472
-22,0.0525,0.1128,0.4655,0.3234,0.9881,0.282,0.1093,2.579,0.009192,0.01376
-20,0.06968,0.1119,0.6227,0.2704,0.9313,0.2759,0.1055,2.617,0.008485,0.01289
-18,0.08859,0.111,0.7978,0.2174,0.8137,0.2685,0.1023,2.623,0.008367,0.01274
-16,0.1085,0.1101,0.9854,0.1684,0.6947,0.259,0.1003,2.584,0.009107,0.01371
-14,0.1286,0.1089,1.18,0.1262,0.5467,0.2481,0.09908,2.504,0.01078,0.01566
-12,0.1482,0.1075,1.378,0.09206,0.42,0.2366,0.09864,2.399,0.01344,0.01893
-10,0.1667,0.1059,1.574,0.06594,0.3182,0.2254,0.09875,2.283,0.01706,0.02357
-8,0.1834,0.1041,1.762,0.04707,0.2518,0.2151,0.09926,2.167,0.02156,0.02904
-6,0.1979,0.1025,1.931,0.03425,0.2314,0.2061,0.1,2.061,0.02662,0.03434
-4,0.2095,0.1012,2.07,0.02616,0.1827,0.1987,0.1009,1.97,0.03178,0.04009
-2,0.2178,0.1005,2.168,0.02152,0.1546,0.1933,0.1018,1.9,0.03639,0.04527
0,0.2225,0.1002,2.22,0.01939,0.1434,0.19,0.1026,1.852,0.03979,0.049
2,0.2231,0.1003,2.225,0.01921,0.1429,0.1891,0.1033,1.831,0.04143,0.05077
4,0.2189,0.1002,2.184,0.02084,0.1506,0.1906,0.1038,1.836,0.04104,0.0504
6,0.2085,0.09945,2.096,0.02484,0.1752,0.1945,0.1041,1.867,0.03868,0.04782
8,0.1908,0.09806,1.946,0.0333,0.2275,0.2007,0.1043,1.925,0.03469,0.04332
10,0.1677,0.0973,1.724,0.05048,0.2607,0.2091,0.1042,2.007,0.02957,0.0376
12,0.1432,0.09801,1.461,0.08018,0.3754,0.2198,0.1039,2.116,0.0239,0.03138
