subject,window,t_ms,model0,model2B,model3
3,24,435,-327.312,-316.011,-315.296
3,25,465,-330.686,-318.744,-318.246
3,26,495,-322.874,-313.267,-313.463
3,27,525,-314.43,-305.106,-305.071
3,28,555,-320.799,-310.104,-309.865
3,29,585,-305.419,-294.735,-294.783
3,30,615,-280.312,-273.243,-273.149
3,31,645,-273.667,-267.572,-267.259
3,32,675,-282.661,-273.613,-273.77
3,33,705,-283.21,-275.061,-274.746
3,34,735,-262.742,-258.494,-258.703
3,35,765,-245.645,-242.709,-241.89
3,36,795,-256.774,-252.951,-252.719
3,37,825,-266.846,-262.604,-262.984
3,38,855,-262.459,-259.272,-259.633
3,39,885,-251.439,-249.296,-249.073
3,40,915,-233.182,-230.494,-230.419
3,41,945,-220.575,-218.889,-219.113
3,42,975,-219.372,-219.894,-219.396
3,43,1005,-217.172,-217.846,-216.791
3,44,1035,-219.322,-218.972,-219.532
3,45,1065,-213.321,-213.25,-213.028
3,46,1095,-205.181,-205.122,-205.668
3,47,1125,-203.184,-202.885,-203.627
3,48,1155,-203.247,-203.607,-203.355
3,49,1185,-184.219,-184.697,-184.464
3,50,1215,-184.458,-185.097,-184.896
3,51,1245,-204.055,-204.037,-204.085
3,52,1275,-184.734,-185.115,-185.08
4,0,-285,-136.087,-136.213,-136.775
4,1,-255,-134.304,-134.621,-134.428
4,2,-225,-120,-120.092,-120.773
4,3,-195,-113.939,-113.963,-114.779
4,4,-165,-114.973,-114.69,-115.476
4,5,-135,-118.877,-118.734,-118.786
4,6,-105,-132.588,-132.912,-132.573
4,7,-75,-137.213,-137.594,-137.372
4,8,-45,-154.169,-153.841,-154.323
4,9,-15,-165.479,-164.464,-166.076
4,10,15,-179.305,-178.632,-179.63
4,11,45,-177.63,-177.387,-178.065
4,12,75,-161.463,-161.274,-162.228
4,13,105,-163.363,-163.72,-163.939
4,14,135,-173.996,-173.625,-173.931
4,15,165,-195.643,-194.628,-194.707
4,16,195,-217.333,-214.603,-213.964
4,17,225,-214.514,-212.041,-212.515
4,18,255,-213.25,-210.895,-211.161
4,19,285,-216.789,-214.611,-214.046
4,20,315,-212.506,-209.834,-210.032
4,21,345,-212.933,-211.233,-211.114
4,22,375,-218.181,-216.298,-216.552
4,23,405,-208.23,-207.381,-207.664
4,24,435,-210.16,-209.042,-209.111
4,25,465,-223.954,-222.204,-222.582
4,26,495,-235.837,-233.036,-231.403
4,27,525,-244.152,-239.823,-239.28
4,28,555,-253.111,-247.21,-247.58
4,29,585,-254.741,-249.447,-249.255
4,30,615,-255.105,-248.471,-248.818
4,31,645,-270.107,-260.258,-261.525
4,32,675,-285.052,-274.013,-274.625
4,33,705,-273.202,-262.215,-262.568
4,34,735,-272.536,-261.875,-262.214
4,35,765,-270.995,-259.315,-259.224
4,36,795,-273.763,-265.141,-264.123
4,37,825,-265.098,-258.363,-258.681
4,38,855,-266.453,-261.503,-261.46
4,39,885,-258.445,-253.937,-253.872
4,40,915,-240.542,-238.325,-238.181
4,41,945,-222.916,-221.914,-222.49
4,42,975,-227.396,-227.07,-226.997
4,43,1005,-226.469,-226.253,-226.495
4,44,1035,-209.736,-209.728,-210.079
4,45,1065,-195.845,-195.926,-195.591
4,46,1095,-200.332,-199.932,-200.028
4,47,1125,-185.768,-185.521,-185.943
4,48,1155,-169.773,-170.03,-169.679
4,49,1185,-159.446,-159.579,-159.572
4,50,1215,-160.233,-160.773,-160.176
4,51,1245,-166.865,-167.297,-166.701
4,52,1275,-179.329,-179.628,-178.9
5,0,-285,-104.299,-104.612,-104.145
5,1,-255,-104.486,-104.739,-104.53
5,2,-225,-89.6943,-89.7503,-89.7388
5,3,-195,-102.48,-102.847,-102.694
5,4,-165,-109.637,-109.721,-109.998
5,5,-135,-113.119,-114.053,-113.71
5,6,-105,-123.542,-124.6,-123.694
5,7,-75,-144.843,-144.461,-144.151
5,8,-45,-141.752,-141.491,-140.369
5,9,-15,-134.079,-134.221,-133.306
5,10,15,-156.442,-156.559,-156.595
5,11,45,-161.27,-161.24,-161.184
5,12,75,-177.294,-176.541,-176.579
5,13,105,-186.283,-185.499,-186.817
5,14,135,-183.525,-182.697,-182.672
5,15,165,-210.873,-209.227,-209.217
5,16,195,-227.239,-223.774,-223.831
5,17,225,-252.626,-245.797,-246.397
5,18,255,-282.528,-271.954,-271.731
5,19,285,-300.213,-287.155,-286.368
5,20,315,-302.553,-289.678,-289.229
5,21,345,-292.653,-281.124,-281.871
5,22,375,-281.832,-271.079,-271.868
5,23,405,-288.425,-277.752,-278.288
5,24,435,-303.472,-291.027,-291.341
5,25,465,-312.998,-300.64,-300.376
5,26,495,-308.79,-300.238,-300.408
5,27,525,-285.107,-279.912,-280.321
5,28,555,-265.979,-262.163,-263.319
5,29,585,-257.355,-253.363,-253.757
5,30,615,-249.953,-245.847,-245.658
5,31,645,-253.357,-250.847,-250.128
5,32,675,-246.671,-243.469,-243.461
5,33,705,-243.578,-238.535,-238.341
5,34,735,-255.141,-248.002,-248.172
5,35,765,-260.283,-254.187,-254.56
5,36,795,-244.34,-240.679,-241.16
5,37,825,-227.124,-224.572,-224.688
5,38,855,-237.614,-235.68,-235.108
5,39,885,-235.053,-234.043,-233.911
5,40,915,-207.719,-207.244,-207.044
5,41,945,-203.33,-203.107,-203.064
5,42,975,-207.083,-207.107,-206.633
5,43,1005,-207.419,-207.347,-206.909
5,44,1035,-210.443,-210.274,-209.956
5,45,1065,-211.19,-210.503,-210.616
5,46,1095,-192.789,-192.639,-191.918
5,47,1125,-181.455,-181.529,-180.819
5,48,1155,-182.195,-182.309,-181.981
5,49,1185,-180.292,-180.061,-178.501
5,50,1215,-176.031,-175.769,-175.6
5,51,1245,-176.37,-176.632,-176.764
5,52,1275,-173.329,-173.477,-173.33
6,0,-285,-108.248,-108.943,-108.537
6,1,-255,-122.379,-122.982,-122.635
6,2,-225,-123.108,-123.378,-123.192
6,3,-195,-122.026,-122.088,-122.046
