subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,active,2,-225,model3,4,-518.86,-134.293,0,1400,661,186,-48.605,0.103768,0.0380738,-0.964933,1.26992,0.0268773,0.530481
1,active,3,-195,model0,0,-500.666,-119.339,1,78,681,166,0.504741,0.0225462,,,,,
1,active,3,-195,model0,1,-494.738,-125.477,1,94,679,168,0.501425,0.0404014,,,,,
1,active,3,-195,model0,2,-507.561,-113.901,1,62,698,149,0.500656,-0.00176823,,,,,
1,active,3,-195,model0,3,-476.757,-143.866,1,85,669,178,0.493481,0.0423424,,,,,
1,active,3,-195,model0,4,-497.623,-122.845,1,82,661,186,0.513718,0.037848,,,,,
1,active,3,-195,model2B,0,-500.325,-118.926,0,1200,681,166,11.3659,0.0482404,0.825292,-0.0323726,0.50525,0.0465552,
1,active,3,-195,model2B,1,-494.25,-124.999,0,1200,679,168,-42.5885,0.0143836,3.32324,-0.185826,0.50864,0.0672572,
1,active,3,-195,model2B,2,-505.78,-114.445,1,1085,698,149,8.21897,1.25974,0.740282,-5.48079,0.499605,0.00955591,
1,active,3,-195,model2B,3,-473.297,-147.37,0,1200,669,178,-23.5018,0.0117134,7.37632,-0.738224,0.522855,0.0950409,
1,active,3,-195,model2B,4,-496.675,-122.866,0,1200,661,186,21.9642,0.05706,0.509802,-1.93376,0.587882,0.052473,
1,active,3,-195,model3,0,-497.674,-120.725,0,1400,681,166,-6.2101,-0.272402,0.0719829,-0.661053,0.0320412,-0.350596,0.470288
1,active,3,-195,model3,1,-494.078,-124.942,1,960,679,168,0.751808,0.0801866,0.0304608,-0.191712,0.33617,0.462231,0.500521
1,active,3,-195,model3,2,-506.453,-113.708,1,995,698,149,2.29112,0.0688238,0.00674311,-0.194553,0.300711,0.650652,0.499078
1,active,3,-195,model3,3,-473.736,-146.235,0,1400,669,178,3.19104,4.11577,-0.00330929,0.781249,-1.23369,0.138111,0.489779
1,active,3,-195,model3,4,-497.373,-122.666,0,1400,661,186,-83.245,0.680494,0.0415523,-1.1147,1.48729,0.0143083,0.51348
1,active,4,-165,model0,0,-465.05,-124.019,1,88,681,166,0.478986,0.0175088,,,,,
1,active,4,-165,model0,1,-475.551,-113.401,1,85,679,168,0.487423,0.0183006,,,,,
1,active,4,-165,model0,2,-495.239,-94.5268,1,49,698,149,0.491953,-1.30844e-05,,,,,
1,active,4,-165,model0,3,-453.799,-135.752,1,100,669,178,0.476792,0.0336748,,,,,
1,active,4,-165,model0,4,-464.594,-124.547,1,101,661,186,0.488646,0.0291397,,,,,
1,active,4,-165,model2B,0,-464.534,-124.698,0,1200,681,166,14.9418,0.370661,2.49593,0.365013,0.474436,0.0478171,
1,active,4,-165,model2B,1,-473.602,-114.435,0,1200,679,168,-2.57139,2.09767,1.83084,-8.92434,0.673698,0.0219333,
1,active,4,-165,model2B,2,-495.138,-94.4006,0,1200,698,149,-33.1498,0.0669166,0.390155,-1.48067,0.492772,0.00563317,
1,active,4,-165,model2B,3,-452.407,-137.975,0,1200,669,178,4.84571,0.0669516,0.62753,-0.974121,0.508224,0.0596922,
1,active,4,-165,model2B,4,-463.233,-124.552,0,1200,661,186,-3.86286,2.67478,-11.9054,159.598,-3.93253,0.027631,
1,active,4,-165,model3,0,-464.268,-124.702,0,1400,681,166,14.3594,-0.435267,0.0303284,-0.294058,1.06137,0.078403,0.478409
1,active,4,-165,model3,1,-475.512,-113.463,0,1400,679,168,-104.84,0.08335,0.00925644,-0.276355,0.374786,0.0123052,0.48746
1,active,4,-165,model3,2,-495.213,-94.4461,0,1400,698,149,1.80073,-0.0591412,0.00044409,-0.264454,0.51622,0.0362338,0.491938
1,active,4,-165,model3,3,-453.688,-135.8,0,1400,669,178,-21.1659,-0.0173993,0.0314168,-0.271505,0.415016,0.0447408,0.476727
1,active,4,-165,model3,4,-464.342,-124.992,0,1400,661,186,-289.577,0.0960062,0.0598147,-0.720152,0.743348,0.155098,0.488481
1,active,5,-135,model0,0,-477.395,-116.978,1,102,681,166,0.487766,0.0492086,,,,,
1,active,5,-135,model0,1,-488.034,-106.949,1,75,679,168,0.496513,0.0280842,,,,,
1,active,5,-135,model0,2,-495.752,-99.2841,1,81,698,149,0.492257,0.0243153,,,,,
1,active,5,-135,model0,3,-436.024,-160.768,1,102,669,178,0.464302,0.0558042,,,,,
1,active,5,-135,model0,4,-476.329,-118.889,1,89,661,186,0.497415,0.0624187,,,,,
1,active,5,-135,model2B,0,-473.183,-120.042,0,1200,681,166,2.83057,-24.0426,-0.000184815,416.291,-20.8762,0.0514101,
1,active,5,-135,model2B,1,-487.367,-107.166,0,1200,679,168,34.7583,-0.062727,0.0999737,-13.6834,0.855723,0.0246208,
1,active,5,-135,model2B,2,-495.533,-98.9865,0,1200,698,149,-7.62626,-0.0772855,0.173501,-1.13979,0.521037,0.0180049,
1,active,5,-135,model2B,3,-435.596,-160.645,0,1200,669,178,32.4482,-0.001536,0.406667,-42.522,2.83089,0.0552703,
1,active,5,-135,model2B,4,-475.481,-119.509,1,1078,661,186,-24.7381,-0.0751201,1.73918,-0.368515,0.519889,0.0305343,
1,active,5,-135,model3,0,-477.289,-116.817,1,1139,681,166,7.71305,0.13171,0.0503463,-0.421766,0.500733,-0.658367,0.487584
1,active,5,-135,model3,1,-484.32,-107.157,1,1154,679,168,-5.76779,-0.608703,0.0194614,0.130955,1.93119,0.136302,0.482923
1,active,5,-135,model3,2,-489.799,-100.267,0,1400,698,149,-0.481857,-1.80408,0.0177942,-3.39536,16.4288,-0.668402,0.473485
1,active,5,-135,model3,3,-435.945,-160.453,0,1400,669,178,16.2357,-0.591258,0.0439956,-1.31071,1.38243,-0.354217,0.465128
1,active,5,-135,model3,4,-473.32,-120.717,0,1400,661,186,-2.86741,-0.350799,0.105817,-0.893659,5.88044,-0.457566,0.454902
1,active,6,-105,model0,0,-508.393,-115.561,1,97,681,166,0.510458,0.0896095,,,,,
1,active,6,-105,model0,1,-488.737,-135.375,1,156,679,168,0.496988,0.0805454,,,,,
1,active,6,-105,model0,2,-522.186,-102.363,1,110,698,149,0.51125,0.0657941,,,,,
1,active,6,-105,model0,3,-467.434,-157.795,1,88,669,178,0.486605,0.0940364,,,,,
1,active,6,-105,model0,4,-505.922,-118.804,1,209,661,186,0.520211,0.0962444,,,,,
1,active,6,-105,model2B,0,-507.064,-115.789,0,1200,681,166,9.42469,-0.204841,0.342393,-0.911376,0.591249,0.059223,
