level1,level2,level3,level4,level5,level6,level7
-0.36125,-0.77378,-0.83785,-1.0481,0.23997,-1.4779,0.0090155
-0.39303,0.41992,-0.79907,-1.7871,-0.52941,0.98137,0.74881
0.0039246,-1.5892,0.45309,-0.91968,-0.4565,0.40133,-1.0357
-0.089038,-0.68492,-0.65517,0.5999,-1.9845,-0.38406,0.055063
-1.8953,-0.87775,-0.74954,-0.054927,-0.032307,-0.44783,-1.1931
-2.0754,-1.4149,-3.3778,-0.32589,-0.35942,-0.52281,1.7567
0.75395,-0.67475,-0.023627,-0.39798,-2.1178,-0.5035,0.18369
-1.2322,-0.17961,-1.0342,-0.50031,-0.33562,0.18318,0.22818
-1.3699,0.69457,-0.18405,-0.99565,-0.83849,-0.63386,-0.51145
0.073178,-2.085,0.79945,-0.76064,0.2301,-1.0348,0.61223
0.16205,-1.8965,-0.14475,-0.73793,0.39865,1.0796,-0.26698
0.27121,-0.50079,-0.17315,-0.81144,-1.0803,-0.72011,1.6749
-0.2484,0.75277,-1.037,-1.0343,0.63724,0.35821,-0.54841
-0.57314,-0.55532,-0.18152,-1.2579,-0.97275,-0.066998,0.94222
-0.46933,0.33766,-0.50289,-0.32097,-0.99211,-0.9182,0.16967
-0.055137,0.10749,-0.51937,-0.17693,-0.17762,0.028785,0.19086
0.093801,-0.65167,-0.59939,0.79894,0.55114,-0.2378,0.035049
-1.32,-0.14911,0.18226,-0.64681,-1.0624,0.11506,0.6942
-0.76163,-1.3515,-0.84116,-1.1311,-0.47787,0.36508,-0.11856
0.21964,-0.00040859,-0.14741,-0.48632,-0.14894,-0.86671,1.634
-0.58129,-0.44661,-0.11694,-0.053419,-0.073128,0.060529,0.29455
1.2501,-0.73417,-0.62805,-1.1124,-0.34729,0.87287,0.099939
-0.5391,-0.51079,-0.98671,-0.56447,0.2712,-0.68198,0.5737
-0.62286,0.49078,-0.94603,0.18072,0.4772,0.74876,-0.02352
-1.0549,-0.1491,-0.40897,0.47483,-1.0636,-0.1173,-2.0459
-0.37991,0.93801,-0.6395,1.2354,-0.30357,0.98857,0.3551
-0.52503,-1.4766,0.55838,0.38464,0.16571,1.1448,1.2685
-0.16745,-0.2471,-0.52953,-0.19868,-0.27381,0.060975,0.60085
-0.19434,-2.2587,-1.1581,-0.85811,-0.69986,-0.15615,-1.1509
-1.8434,-0.94849,-1.4435,-0.54123,-0.65789,0.1995,-0.59739
0.073892,-0.28695,-0.8832,-0.46471,-1.3487,0.90753,-0.13559
-0.89391,-1.0688,-0.66737,-0.41894,0.57213,0.30705,1.5191
-0.91514,-0.3542,-2.4477,-0.38275,-1.1747,-0.63782,0.76809
0.048054,-0.42839,-0.15507,-0.5143,-0.45823,-1.2733,-1.1071
-0.042555,-0.5809,-0.072953,-0.54946,-0.24391,1.6281,0.6009
-1.5802,-2.0069,-1.1614,0.61079,0.13333,1.49,0.14334
0.90506,-0.2643,-0.36577,0.29235,-1.1344,0.3885,-0.24822
-1.6041,0.43453,0.10089,-0.88276,-2.1112,0.43758,1.9642
-0.38313,-0.081943,-0.80725,0.79219,-1.6314,2.2978,-1.3414
-0.36837,-1.4885,-1.6418,0.24247,-1.7888,0.27767,0.76124
0.59439,-1.4917,-0.43189,0.62273,0.37172,0.25669,0.59423
