subject,task,n_channels,n_records,duration_s,samples_per_record,size,size_implied_by_header,size_ok
sub-30,informative,144,1505,1505.0,1024,665800960,665800960,True
sub-30,nocue,144,1020,1020.0,1024,451252480,451252480,True
sub-30,noninformative,144,1437,1437.0,1024,635719936,635719936,True
sub-31,informative,144,1530,1530.0,1024,676860160,676860160,True
sub-31,nocue,144,1215,1215.0,1024,537514240,537514240,True
sub-31,noninformative,144,1703,1703.0,1024,753389824,753389824,True
sub-32,informative,144,2340,2340.0,1024,1035178240,1035178240,True
sub-32,nocue,144,1435,1435.0,1024,634835200,634835200,True
sub-32,noninformative,144,1920,1920.0,1024,849383680,849383680,True
sub-33,informative,144,1489,1489.0,1024,658723072,658723072,True
sub-33,nocue,144,1289,1289.0,1024,570249472,570249472,True
sub-33,noninformative,144,1474,1474.0,1024,652087552,652087552,True
sub-34,informative,144,1468,1468.0,1024,649433344,649433344,True
sub-34,nocue,144,1142,1142.0,1024,505221376,505221376,True
sub-34,noninformative,144,1778,1778.0,1024,786567424,786567424,True
sub-35,informative,144,1498,1498.0,2048,1325371648,1325371648,True
sub-35,noninformative,144,1382,1382.0,2048,1222742272,1222742272,True
sub-36,informative,144,1468,1468.0,2048,1298829568,1298829568,True
sub-36,nocue,144,1291,1291.0,2048,1142231296,1142231296,True
