subject,task,n_trials,n_present,n_catch,n_blocks,contrast_min,contrast_median,contrast_max,contrast_iqr,contrast_cv,contrast_n_unique,seen_rate,seen_rate_catch,n_seen_missing,n_seen_from_column,n_objective,objective_acc,n_obj_from_column,seen_col_conflicts,obj_col_conflicts,n_left,n_right,n_vertical,n_horizontal,n_pd_total,n_pd_used,n_pd_break,n_pd_break_interior,block_source,block_sizes,n_pd_uncorrected,pd_delay_ms_min,pd_delay_ms_median,pd_delay_ms_max,cue_soa_s_min,cue_soa_s_max,rt_subj_s_median,rt_subj_s_p10,stray_codes,seen_q1,seen_q2,seen_q3,seen_q4,seen_q5,seen_vdig0,seen_vdig1,contrast_vdig0,contrast_vdig1
28,nocue,400,360,40,4,0.0138334,0.0262409,0.0351593,0.00669885,0.164218,353,0.522222,0.05,0,0,44,0.840909,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,38,39,56.64,,,0.903,0.7569,,0.388889,0.541667,0.5,0.527778,0.652778,,,,
28,noninformative,400,360,40,4,0.0166581,0.0249339,0.034294,0.00622585,0.163123,356,0.536111,0,0,0,56,0.803571,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,67.4,0.685,1.08694,0.97,0.8248,,0.486111,0.527778,0.527778,0.555556,0.583333,0.522222,0.55,0.0251768,0.0247277
28,informative,400,360,40,4,0.00820974,0.0143944,0.0268404,0.00357048,0.234343,357,0.530556,0,0,0,43,0.627907,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56,0.68,1.003,0.996,0.8529,,0.208333,0.541667,0.638889,0.569444,0.694444,,,,
29,nocue,400,360,40,4,0.0140256,0.0207065,0.0291313,0.00386147,0.130099,350,0.494413,0.05,2,0,50,0.72,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,38,39,51,,,0.7255,0.6497,,0.305556,0.422535,0.486111,0.583333,0.676056,,,,
29,noninformative,400,360,40,4,0.015954,0.0228842,0.0324835,0.0033426,0.113843,352,0.502778,0.075,0,0,59,0.711864,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.7,1.004,0.7165,0.64,,0.527778,0.597222,0.416667,0.444444,0.527778,0.505556,0.5,0.0228678,0.0228842
29,informative,400,360,40,4,0.0163431,0.0225148,0.0370999,0.00360592,0.14311,349,0.552778,0.15,0,0,50,0.78,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56,0.686,1.01,0.8035,0.67,,0.472222,0.472222,0.444444,0.666667,0.708333,,,,
30,nocue,400,360,40,4,0.019549,0.0332815,0.0541663,0.0122938,0.23801,359,0.447222,0.025,0,0,51,0.705882,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,39,39,55.7,,,0.8572,0.711,,0.430556,0.416667,0.513889,0.430556,0.444444,,,,
30,noninformative,400,360,40,4,0.0197774,0.0295547,0.0394167,0.00514903,0.127704,355,0.494444,0,0,0,53,0.660377,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.68,1.004,0.9595,0.81665,,0.555556,0.472222,0.5,0.375,0.569444,0.488889,0.5,0.0295687,0.0294818
30,informative,400,360,40,4,0.0127918,0.0242984,0.0356706,0.00623375,0.184602,356,0.547222,0.05,0,0,48,0.729167,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39.1,60,0.68,1.02,0.8705,0.75,,0.444444,0.486111,0.486111,0.583333,0.736111,,,,
31,nocue,400,360,40,4,0.0187996,0.0267113,0.0387941,0.00410927,0.11727,353,0.463889,0.225,0,0,57,0.578947,0,0,0,180,180,180,180,404,400,4,3,break_128,100;100;100;100,0,30,39,56,,,0.95,0.7838,,0.347222,0.486111,0.430556,0.513889,0.541667,,,,
31,noninformative,400,360,40,4,0.0171805,0.0262594,0.0355655,0.0038785,0.111625,352,0.511111,0.05,0,0,57,0.614035,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,40,60,0.686,1.02,1.09,0.8427,,0.527778,0.472222,0.513889,0.541667,0.5,0.511111,0.511111,0.0262877,0.0260678
31,informative,400,360,40,4,0.0117165,0.0170338,0.0314687,0.00318167,0.183088,350,0.536111,0.15,0,0,44,0.795455,0,0,0,180,180,180,180,804,800,4,3,break_128,100;100;100;100,0,30,40,60,0.7,1.004,0.909,0.77,,0.25,0.416667,0.541667,0.722222,0.75,,,,
32,nocue,400,360,40,4,0.023768,0.0409367,0.0602461,0.0124681,0.217079,355,0.455556,0.025,0,0,57,0.578947,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,60,,,1.116,0.87,,0.416667,0.347222,0.458333,0.486111,0.569444,,,,
32,noninformative,395,355,40,4,0.0266362,0.047147,0.0562553,0.00809905,0.144473,353,0.459155,0.125,0,0,56,0.660714,0,0,0,178,177,178,177,794,790,4,3,break_128,95;100;100;100,0,30,39,60,0.69,1.01,1.1367,0.8202,,0.323944,0.43662,0.464789,0.521127,0.549296,0.494382,0.423729,0.0469179,0.0473387
32,informative,400,360,40,4,0.0148221,0.0372491,0.0472043,0.0063338,0.157727,354,0.469565,0.166667,19,0,43,0.697674,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,40,60,0.686,1.003,1.15,0.85,,0.338028,0.402778,0.455882,0.571429,0.59375,,,,
33,nocue,400,360,40,4,0.022356,0.029484,0.0381439,0.003879,0.0990663,356,0.508333,0.05,0,0,55,0.654545,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,55.6,,,1.0895,0.8605,,0.25,0.472222,0.513889,0.583333,0.722222,,,,
33,noninformative,400,360,40,4,0.0195701,0.0264035,0.0327901,0.00333825,0.100742,356,0.475,0,0,0,68,0.75,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.68,1.004,0.9795,0.7956,,0.416667,0.541667,0.333333,0.583333,0.5,0.461111,0.488889,0.0264035,0.0263822
33,informative,400,360,40,4,0.0190274,0.0256274,0.0346827,0.00418985,0.110938,355,0.502778,0.05,0,0,42,0.761905,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.7,1.004,0.906,0.73927,,0.305556,0.347222,0.625,0.527778,0.708333,,,,
34,nocue,400,360,40,4,0.0223512,0.0295971,0.0393178,0.00458025,0.111857,348,0.480556,0.025,0,0,51,0.686275,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,60,,,1.0465,0.8279,40,0.333333,0.444444,0.458333,0.555556,0.611111,,,,
34,noninformative,400,360,40,4,0.0229742,0.0293508,0.0385198,0.00374675,0.0970872,350,0.508333,0.2,0,0,63,0.777778,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,40,73.24,0.6855,1.02,1.08,0.8499,,0.486111,0.513889,0.5,0.541667,0.5,0.505556,0.511111,0.0296551,0.0291479
34,informative,400,360,40,4,0.021354,0.0312521,0.0416358,0.0041026,0.10466,354,0.505556,0.075,0,0,47,0.638298,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.7,1.054,1.0525,0.8667,,0.375,0.444444,0.416667,0.583333,0.708333,,,,
35,noninformative,400,360,40,4,0.01243,0.0345657,0.0471842,0.010001,0.243079,358,0.452514,0.05,2,0,64,0.765625,12,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.686,1.021,0.8,0.6967,,0.361111,0.555556,0.507042,0.380282,0.458333,0.466667,0.438202,0.0347956,0.0340623
35,informative,398,358,40,4,0.0165401,0.0350787,0.0495318,0.0086622,0.201525,353,0.427374,0.1,0,0,48,0.666667,0,0,0,179,179,180,178,800,795,5,3,break_128,98;100;100;100,0,30,39,63.48,0.68,1.02002,0.766,0.67,,0.291667,0.352113,0.458333,0.535211,0.5,,,,
36,nocue,400,360,40,4,0.0190588,0.0257915,0.0351411,0.0048172,0.125713,355,0.5,0.025,0,0,54,0.796296,0,0,0,180,180,180,180,404,400,4,3,break_128,100;100;100;100,0,30,39,60,,,0.8815,0.7028,,0.236111,0.5,0.555556,0.597222,0.611111,,,,
36,informative,400,360,40,4,0.01995,0.026875,0.0343934,0.0040543,0.0996694,354,0.508333,0.05,0,0,58,0.672414,0,0,0,180,180,180,180,804,800,4,3,break_128,100;100;100;100,0,30,39.05,60,0.68,1.02,0.83,0.7109,,0.347222,0.5,0.472222,0.569444,0.652778,,,,
