generator,grid,rep,seed,size,member,n_starts_pipeline,n_starts_strong,n_train_concepts,n_test_concepts,pipeline_loglik,strong_loglik,gap,miss,pipeline_converged,pipeline_n_converged,strong_n_converged,starts_at_best,pipeline_heldout,strong_heldout,n_heldout_trials,seconds_pipeline,seconds_strong,pipeline_source,strong_source,strong_batch,challenge_is_skew,n_archived,pipeline_theta,strong_theta
M2S,"{""omega"": 1.0}",3,500003,inner,M2S,4,84,38,14,-6871.741274738706,-6871.741274734744,3.961758920922875e-09,0,1,4,84,84,-2819.5574635830044,-2819.5574414385887,2352,18.9,401.1,cold,extra,extra,0,84,"[2.990487, 1.535597, 2.009318, 0.150972, 0.707883, 0.992993, -0.004738]","[2.990487, 1.535597, 2.009318, 0.150971, 0.707877, 0.992993, -0.004745]"
M2S,"{""omega"": 1.0}",3,500003,inner,M3,4,84,38,14,-12894.41777989577,-12894.376009288051,0.041770607718717656,0,1,4,84,84,-4340.704592056593,-4340.7304270128125,2352,3.7,74.2,cold,extra,extra,0,84,"[-30.192437, 0.073284, -1.318634, -29473.33468, 29474.974578, 0.297926, 1.756479]","[-31.794358, 0.070187, -1.318712, -42681.897016, 42683.548604, 0.294567, 1.756576]"
M2S,"{""omega"": 1.0}",3,500003,inner,M3H,4,84,38,14,-12930.175724839683,-12930.17572372848,1.1112024367321283e-06,0,1,4,82,74,-4366.096891405605,-4366.106928994575,2352,82.9,1764.9,cold,extra,extra,0,84,"[-0.995964, -16.947755, 0.719314, 0.784869, 1.620746, 2.529981, 0.574122, -27.47221]","[-0.995942, -17.5573, 0.719319, 0.784805, 1.620835, 2.530074, 0.574133, -24.831332]"
M2S,"{""omega"": 1.0}",3,500003,inner,M3L,4,84,38,14,-12930.175725604066,-12930.175723407385,2.196680725319311e-06,0,1,4,84,84,-4366.105731444337,-4366.106577821436,2352,0.6,12.4,cold,extra,extra,0,84,"[-0.995994, -15.934412, 0.719337, 0.78488, 1.620554, 2.529949, 0.574133, -3.205546]","[-0.995973, -17.444989, 0.71933, 0.784822, 1.62078, 2.530011, 0.574132, -2.963349]"
M2S,"{""omega"": 1.0}",3,500003,inner,M3V,4,84,38,14,-12262.566725859215,-11108.041340245174,1154.5253856140407,1,1,4,84,16,-4291.565650799499,-4023.7624067043794,2352,0.5,9.4,cold,extra,extra,0,84,"[-0.630581, -14.234248, 0.447345, 1.252666, 2.743392, 3.485751, -0.060691, 0.898159]","[-0.854268, -20.208541, 0.617801, 0.022276, 1.933871, 3.120331, 0.975295, -1.214911]"
M2S,"{""omega"": 1.0}",3,500003,outer,M2B,8,88,52,12,-16969.39445557489,-16969.39445557486,2.9103830456733704e-11,0,1,8,88,88,-4280.25706069089,-4280.257037837133,2016,0.2,2.5,cold,extra,extra,0,88,"[3.05548, 1.475416, 1.939861, 0.454921, 1.742188, 0.930851]","[3.05548, 1.475416, 1.939861, 0.454921, 1.742188, 0.930851]"
M2S,"{""omega"": 1.0}",3,500003,outer,M2H,8,88,52,12,-13868.742448831597,-13841.923587341487,26.818861490110066,1,1,5,54,1,-3563.9578090565274,-3558.3072197819474,2016,237.8,2430.3,cold,extra,extra,0,88,"[4.159117, 0.560861, 2.512062, 1.45808, 1.542515, 0.947903, 1.388258]","[7.166242, 0.578921, 2.856995, 1.328271, 1.445906, 1.20801, 1.241712]"
M2S,"{""omega"": 1.0}",3,500003,outer,M2K,8,88,52,12,-16834.70995415026,-16834.70995414609,4.172761691734195e-09,0,1,8,88,87,-4290.810149683824,-4290.809905707843,2016,1.5,16.8,cold,extra,extra,1,88,"[3.086541, 1.456793, 2.808301, 0.432565, 1.598878, 2.566065, -0.893801, -0.135064]","[3.086539, 1.456796, 2.808301, 0.432566, 1.598878, 2.566065, -0.893802, -0.135064]"
M2S,"{""omega"": 1.0}",3,500003,outer,M2S,8,88,52,12,-9690.38060155681,-9690.380601555855,9.549694368615746e-10,0,1,8,88,88,-2884.023144534938,-2884.0231405387804,2016,55.7,551.8,cold,extra,extra,0,88,"[2.994261, 1.533673, 2.011681, 0.147882, 0.730381, 0.996567, -0.040395]","[2.99426, 1.533673, 2.011681, 0.147882, 0.73038, 0.996567, -0.040392]"
M2S,"{""omega"": 1.0}",3,500003,outer,M3,8,88,52,12,-17214.143021553675,-17214.107555591778,0.03546596189698903,0,1,8,88,88,-4317.824975534128,-4317.76592665666,2016,10.9,106.7,cold,extra,extra,0,88,"[-29.980549, 0.073554, -1.261341, -36124.516145, 36126.143655, 0.306704, 1.670527]","[-30.927917, 0.071682, -1.261858, -44843.931954, 44845.567691, 0.304304, 1.670553]"
M2S,"{""omega"": 1.0}",3,500003,outer,M3H,8,88,52,12,-17275.02435274684,-17275.02435274684,0.0,0,1,8,88,87,-4319.0540836413675,-4319.0540836413675,2016,266.5,2399.5,cold,cold,cold:pipeline,0,88,"[-0.993458, -18.587744, 0.729215, 0.761184, 1.427988, 2.447487, 0.522156, -45.654098]","[-0.993458, -18.587744, 0.729215, 0.761184, 1.427988, 2.447487, 0.522156, -45.654098]"
M2S,"{""omega"": 1.0}",3,500003,outer,M3L,8,88,52,12,-17275.024353106906,-17275.024353106906,0.0,0,1,8,88,88,-4319.052663592163,-4319.052663592163,2016,1.6,15.9,cold,cold,cold:pipeline,0,88,"[-0.993461, -17.617387, 0.729214, 0.761167, 1.428034, 2.447471, 0.522158, -2.959292]","[-0.993461, -17.617387, 0.729214, 0.761167, 1.428034, 2.447471, 0.522158, -2.959292]"
