generator,grid,rep,seed,size,member,n_starts_pipeline,n_starts_strong,n_train_concepts,n_test_concepts,pipeline_loglik,strong_loglik,gap,miss,pipeline_converged,pipeline_n_converged,strong_n_converged,starts_at_best,pipeline_heldout,strong_heldout,n_heldout_trials,seconds_pipeline,seconds_strong,pipeline_source,strong_source,strong_batch,challenge_is_skew,n_archived,pipeline_theta,strong_theta
M2B,{},0,500000,inner,M2B,4,84,38,14,-7131.186161551101,-7131.186161550595,5.056790541857481e-10,0,1,4,84,84,-2625.9688574686616,-2625.9688422603767,2352,0.4,2.1,cold,extra,extra,,,"[3.033834, 1.478746, 2.043181, 0.145343, 0.747789, 1.023221]","[3.033834, 1.478745, 2.043181, 0.145343, 0.74779, 1.023221]"
M2B,{},0,500000,inner,M2H,4,84,38,14,-7130.59059659523,-7130.590596591364,3.865352482534945e-09,0,1,4,84,84,-2626.5216104306332,-2626.521599546931,2352,31.6,592.3,cold,challenge,challenge,,,"[3.033842, 1.488544, 2.041216, 0.145356, 0.747217, 1.022492, -2.573567]","[3.033841, 1.488547, 2.041213, 0.145356, 0.747217, 1.02249, -2.573568]"
M2B,{},0,500000,inner,M2K,4,84,38,14,-7130.873315002236,-7130.873314917908,8.43283487483859e-08,0,1,4,84,81,-2626.051669580512,-2626.0517291551128,2352,1.0,10.2,cold,extra,extra,,,"[3.039944, 1.477646, 1.996404, 0.148041, 0.83491, 0.732258, 0.460964, -0.057994]","[3.039947, 1.477628, 1.996462, 0.14803, 0.834905, 0.732295, 0.460947, -0.058039]"
M2B,{},0,500000,inner,M2S,4,84,38,14,-7131.18616257664,-7131.186161870558,7.06081664247904e-07,0,1,4,84,84,-2625.969007720118,-2625.9687476064655,2352,29.4,505.0,cold,extra,extra,,,"[3.033837, 1.478765, 2.043166, 0.145344, 0.747791, 1.023215, -10.449675]","[3.033831, 1.478736, 2.043184, 0.145343, 0.747789, 1.023221, -11.095699]"
M2B,{},0,500000,inner,M3,4,84,38,14,-7307.1685932626415,-7307.16840671039,0.0001865522517618956,0,1,4,84,84,-2689.7707474714603,-2689.7692887685243,2352,1.2,18.2,cold,extra,extra,,,"[1.999762, 50822.9124, -0.961255, -2.424793, 3.490876, 0.903174, 0.76008]","[1.999786, 57060.965467, -0.961268, -2.42443, 3.490369, 0.903276, 0.760077]"
M2B,{},0,500000,inner,M3H,4,84,38,14,-7360.837561257949,-7360.837560905632,3.523173290886916e-07,0,1,4,84,84,-2710.769915843787,-2710.7702510236513,2352,87.9,1635.7,cold,extra,extra,,,"[-0.892895, -18.953426, 0.646732, 2.510131, 1.063552, 2.578855, -0.300165, -23.84434]","[-0.892893, -20.68503, 0.646732, 2.510046, 1.063552, 2.578854, -0.300166, -23.899775]"
M2B,{},0,500000,inner,M3L,4,84,38,14,-7360.837561800843,-7360.837560857508,9.433351806364954e-07,0,1,4,84,84,-2710.7712309528883,-2710.770533016622,2352,1.1,12.7,cold,challenge,challenge,,,"[-0.892888, -18.334391, 0.646726, 2.509878, 1.063612, 2.578866, -0.300168, -4.952255]","[-0.89289, -21.550631, 0.64673, 2.510046, 1.063562, 2.578864, -0.300167, -4.977807]"
M2B,{},0,500000,inner,M3V,4,84,38,14,-7229.760737285731,-7229.760737285731,0.0,0,1,4,84,84,-2655.168761982,-2655.168761982,2352,0.7,9.1,cold,cold,cold:pipeline,,,"[-0.903833, -18.889301, 0.657135, 2.898914, 0.914623, 2.506028, -0.597324, -0.254113]","[-0.903833, -18.889301, 0.657135, 2.898914, 0.914623, 2.506028, -0.597324, -0.254113]"
M2B,{},0,500000,outer,M2B,8,88,52,12,-9756.71424806094,-9756.714248060876,6.366462912410498e-11,0,1,8,88,88,-2267.41053286074,-2267.4105261363443,2016,0.8,2.1,cold,extra,extra,,,"[3.010944, 1.487437, 2.044097, 0.147294, 0.748142, 1.016342]","[3.010944, 1.487437, 2.044097, 0.147294, 0.748142, 1.016342]"
M2B,{},0,500000,outer,M2H,8,88,52,12,-9756.519300486018,-9756.519300486018,0.0,0,1,8,88,86,-2267.3780293623645,-2267.3780293623645,2016,105.0,1038.7,cold,cold,cold:pipeline,,,"[3.011094, 1.492306, 2.043122, 0.147248, 0.747865, 1.016019, -2.952772]","[3.011094, 1.492306, 2.043122, 0.147248, 0.747865, 1.016019, -2.952772]"
M2B,{},0,500000,outer,M2K,8,88,52,12,-9756.257389005865,-9756.257388998489,7.376002031378448e-09,0,1,8,88,87,-2268.9632339501577,-2268.963364407988,2016,2.0,18.1,cold,extra,extra,,,"[3.003461, 1.488098, 1.838794, 0.192543, 0.859476, 0.621419, 0.527593, 0.094457]","[3.003461, 1.488095, 1.838784, 0.192546, 0.859479, 0.621411, 0.527601, 0.09447]"
M2B,{},0,500000,outer,M2S,8,88,52,12,-9756.714249661716,-9756.714248599888,1.0618277883622795e-06,0,1,8,88,86,-2267.4098113445007,-2267.410727910891,2016,73.7,723.7,cold,extra,extra,,,"[3.010939, 1.48745, 2.044089, 0.147296, 0.748146, 1.016334, -10.288993]","[3.01094, 1.487406, 2.044102, 0.147293, 0.748142, 1.016342, -11.105203]"
M2B,{},0,500000,outer,M3,8,88,52,12,-9996.728492277327,-9996.727610425405,0.0008818519218039,0,1,8,88,88,-2346.4076595824517,-2346.404589749473,2016,2.7,25.5,cold,challenge,challenge,,,"[1.999694, 38611.700401, -0.964577, -2.432703, 3.491722, 0.919428, 0.759861]","[1.999771, 53262.308025, -0.96459, -2.433453, 3.492492, 0.91974, 0.759855]"
M2B,{},0,500000,outer,M3H,8,88,52,12,-10070.876572842655,-10056.785863062223,14.090709780432007,1,1,8,88,1,-2365.0029103976144,-2359.0651877231826,2016,256.0,2611.0,cold,extra,extra,,,"[-0.901723, -18.396127, 0.651519, 2.697769, 1.013879, 2.553774, -0.297697, -19.307622]","[-0.871738, -97.835151, 0.634994, 259.509634, 1.323706, 2.987882, -0.271522, -173.679826]"
M2B,{},0,500000,outer,M3L,8,88,52,12,-10070.876572804385,-10070.876572060391,7.439939508913085e-07,0,1,8,88,88,-2365.002748579731,-2365.0030998383263,2016,2.1,17.5,cold,extra,extra,,,"[-0.901734, -18.443717, 0.651524, 2.697674, 1.013875, 2.553761, -0.297698, -4.851646]","[-0.901729, -19.590289, 0.651523, 2.697685, 1.013859, 2.553758, -0.297698, -5.013724]"
M2B,{},0,500000,outer,M3V,8,88,52,12,-9883.885373686868,-9883.885372368699,1.3181688700569794e-06,0,1,8,88,88,-2306.2524336496244,-2306.2521087688715,2016,1.6,13.1,cold,extra,extra,,,"[-0.912553, -18.106003, 0.661498, 3.1056, 0.880263, 2.478368, -0.600973, -0.250945]","[-0.912555, -31.832473, 0.661494, 3.105482, 0.880281, 2.478353, -0.600976, -0.250944]"
M2B,{},1,500001,inner,M2B,4,84,38,14,-7109.858620251482,-7109.8586202395945,1.1887095752172172e-08,0,1,4,84,82,-2656.4224124076577,-2656.4224829571895,2352,0.1,2.5,cold,extra,extra,,,"[2.995542, 1.586796, 1.980848, 0.143874, 0.747876, 0.964618]","[2.995543, 1.586799, 1.980846, 0.143875, 0.747876, 0.964616]"
M2B,{},1,500001,inner,M2H,4,84,38,14,-7108.488760764052,-7108.488760741528,2.252454578410834e-08,0,1,4,83,79,-2657.6715426539004,-2657.671246703185,2352,26.0,579.8,cold,extra,extra,,,"[3.000931, 1.594133, 1.980786, 0.143222, 0.746833, 0.966059, -2.317941]","[3.00093, 1.594141, 1.980782, 0.143222, 0.746833, 0.966058, -2.317984]"
M2B,{},1,500001,inner,M2K,4,84,38,14,-7109.723478241411,-7109.723478044535,1.9687558960868046e-07,0,1,4,84,83,-2656.4390132174494,-2656.4389574469033,2352,0.5,11.0,cold,extra,extra,,,"[3.001051, 1.584346, 1.949309, 0.144947, 0.812058, 0.729876, 0.374922, -0.050097]","[3.001059, 1.58434, 1.949304, 0.144951, 0.812043, 0.729912, 0.374855, -0.050084]"
M2B,{},1,500001,inner,M2S,4,84,38,14,-7109.846818533491,-7109.846818507751,2.5740519049577415e-08,0,1,4,84,84,-2656.398906146554,-2656.399251094505,2352,17.1,379.7,cold,extra,extra,,,"[2.995581, 1.586291, 1.980895, 0.143826, 0.747799, 0.96461, -4.598821]","[2.995576, 1.586282, 1.980899, 0.143826, 0.747799, 0.964609, -4.598899]"
M2B,{},1,500001,inner,M3,4,84,38,14,-7284.35003119632,-7284.348805303445,0.0012258928745723097,0,1,4,84,84,-2724.583280218638,-2724.590692429997,2352,1.0,19.4,cold,extra,extra,,,"[1.999661, 34567.894381, -0.974286, -2.373, 3.376122, 0.948637, 0.757363]","[1.999768, 52264.664489, -0.974315, -2.372292, 3.375381, 0.94846, 0.75737]"
M2B,{},1,500001,inner,M3H,4,84,38,14,-7340.701302834448,-7327.562887864918,13.138414969530459,1,1,4,84,1,-2741.4821949466914,-2734.8645444707313,2352,116.0,2075.2,cold,extra,extra,,,"[-0.894557, -18.664573, 0.615099, 2.930279, 1.14143, 2.587014, -0.295787, -2.369515]","[-0.874778, -81.520532, 0.59768, 354.788068, 1.674568, 2.991016, -0.27387, -150.793511]"
M2B,{},1,500001,inner,M3L,4,84,38,14,-7341.412489079371,-7327.0086041781415,14.403884901229503,1,1,4,84,1,-2740.245583042766,-2734.7448580266905,2352,0.6,12.1,cold,challenge,challenge,,,"[-0.895474, -18.020288, 0.615142, 2.846524, 1.143016, 2.580891, -0.295768, -5.233432]","[-0.874168, -3623.445602, 0.596847, 4474.285871, 1.675128, 2.999238, -0.273824, -609.910935]"
M2B,{},1,500001,inner,M3V,4,84,38,14,-7215.219522286366,-7215.219521534962,7.514036042266525e-07,0,1,4,84,84,-2687.3064334468127,-2687.305575755017,2352,0.6,8.9,cold,extra,extra,,,"[-0.906137, -18.443433, 0.624445, 3.039937, 1.014353, 2.514051, -0.586926, -0.25581]","[-0.906132, -20.559931, 0.624448, 3.039941, 1.014342, 2.51406, -0.586929, -0.255815]"
M2B,{},1,500001,outer,M2B,8,88,52,12,-9764.45328508532,-9764.45328508311,2.2100721253082156e-09,0,1,8,88,87,-2277.511640824334,-2277.5116365995927,2016,0.3,3.1,cold,extra,extra,,,"[3.014718, 1.596945, 1.981386, 0.145984, 0.749204, 0.983417]","[3.014718, 1.596945, 1.981385, 0.145983, 0.749204, 0.983417]"
M2B,{},1,500001,outer,M2H,8,88,52,12,-9764.03184643759,-9764.031846436636,9.549694368615746e-10,0,1,8,87,86,-2277.4306784708474,-2277.430692942227,2016,83.9,965.0,cold,extra,extra,,,"[3.016641, 1.599262, 1.981642, 0.14572, 0.748742, 0.98405, -2.722947]","[3.016641, 1.599264, 1.981642, 0.14572, 0.748742, 0.98405, -2.72292]"
M2B,{},1,500001,outer,M2K,8,88,52,12,-9764.160868589322,-9764.160868587423,1.899024937301874e-09,0,1,8,88,87,-2277.048961866034,-2277.048942645542,2016,1.8,18.1,cold,extra,extra,,,"[3.038608, 1.592019, 2.084133, 0.121962, 0.801778, 0.844449, 0.328612, -0.15699]","[3.038608, 1.592019, 2.084137, 0.121961, 0.801778, 0.844449, 0.328615, -0.156995]"
M2B,{},1,500001,outer,M2S,8,88,52,12,-9764.418483756053,-9764.418483751957,4.096364136785269e-09,0,1,8,88,87,-2277.173581631533,-2277.1735653813053,2016,51.6,532.1,cold,challenge,challenge,,,"[3.014741, 1.596499, 1.981373, 0.145883, 0.749082, 0.983375, -4.390636]","[3.014741, 1.596498, 1.981373, 0.145882, 0.749082, 0.983375, -4.390599]"
M2B,{},1,500001,outer,M3,8,88,52,12,-10007.14584336519,-10007.14451025733,0.0013331078589544632,0,1,8,88,88,-2333.9535552872785,-2333.9507783762856,2016,2.8,27.5,cold,extra,extra,,,"[1.999683, 36802.208528, -0.95745, -2.388712, 3.412137, 0.943829, 0.760764]","[1.99977, 51602.370897, -0.957412, -2.388402, 3.411852, 0.943741, 0.760768]"
M2B,{},1,500001,outer,M3H,8,88,52,12,-10079.624246051302,-10079.62387893237,0.000367118931535515,0,1,8,88,87,-2357.058720517227,-2357.0594229475246,2016,271.3,2686.1,cold,extra,extra,,,"[-0.880577, -18.390723, 0.617437, 2.694778, 1.171508, 2.59969, -0.294121, -9.9369]","[-0.880589, -11.64608, 0.617433, 2.694039, 1.171588, 2.599658, -0.294126, -5.273742]"
M2B,{},1,500001,outer,M3L,8,88,52,12,-10079.624246210893,-10079.62424562053,5.90363924857229e-07,0,1,8,88,88,-2357.058843044864,-2357.0588205251997,2016,1.8,18.3,cold,extra,extra,,,"[-0.880577, -18.603586, 0.617434, 2.694679, 1.171568, 2.599677, -0.294123, -5.192126]","[-0.880574, -19.357164, 0.617435, 2.694787, 1.171517, 2.599695, -0.294121, -5.491321]"
M2B,{},1,500001,outer,M3V,8,88,52,12,-9900.5305428869,-9900.530541352997,1.5339028323069215e-06,0,1,8,88,88,-2314.4642220190244,-2314.463445178996,2016,1.3,14.1,cold,extra,extra,,,"[-0.889909, -18.179912, 0.626036, 3.01341, 1.028625, 2.537952, -0.586222, -0.249508]","[-0.88992, -22.379371, 0.626049, 3.013281, 1.028627, 2.537942, -0.586223, -0.249513]"
M2B,{},2,500002,inner,M2B,4,84,38,14,-7128.235709044225,-7128.235709044016,2.0827428670600057e-10,0,1,4,84,84,-2634.569031993746,-2634.5690169818913,2352,0.4,2.3,cold,extra,extra,0,84,"[2.976303, 1.475823, 2.033376, 0.145217, 0.746862, 1.006214]","[2.976303, 1.475824, 2.033375, 0.145217, 0.746862, 1.006214]"
M2B,{},2,500002,inner,M2H,4,84,38,14,-7127.192489971187,-7127.192489968336,2.850356395356357e-09,0,1,4,83,79,-2633.941891018164,-2633.941863132177,2352,30.4,649.8,cold,extra,extra,0,84,"[2.976951, 1.480395, 2.033522, 0.144892, 0.746063, 1.006499, -2.437557]","[2.976953, 1.480394, 2.033523, 0.144892, 0.746064, 1.0065, -2.437549]"
M2B,{},2,500002,inner,M2K,4,84,38,14,-7123.3681550968495,-7123.3681549999565,9.689301805337891e-08,0,1,4,84,45,-2635.760185891284,-2635.760346509807,2352,0.8,10.2,cold,extra,extra,1,84,"[2.973736, 1.483114, 2.161856, 0.147923, 0.807, 1.523254, -0.890841, 0.05549]","[2.973728, 1.483108, 2.161867, 0.147923, 0.807002, 1.52326, -0.890839, 0.055483]"
M2B,{},2,500002,inner,M2S,4,84,38,14,-7128.137163061107,-7128.137163055719,5.387846613302827e-09,0,1,4,84,81,-2634.7798337266304,-2634.7798136791007,2352,21.6,363.3,cold,extra,extra,0,84,"[2.975721, 1.477252, 2.032749, 0.145013, 0.746618, 1.005691, -4.02105]","[2.97572, 1.47725, 2.032751, 0.145012, 0.746618, 1.005691, -4.021107]"
M2B,{},2,500002,inner,M3,4,84,38,14,-7294.4831335856725,-7294.482765047344,0.000368538328075374,0,1,4,84,84,-2686.062560267294,-2686.0584693573282,2352,1.3,18.3,cold,extra,extra,0,84,"[1.999636, 34781.945934, -0.960824, -2.372253, 3.424561, 0.916815, 0.758571]","[1.999754, 53202.657682, -0.960829, -2.372214, 3.424517, 0.916898, 0.758571]"
M2B,{},2,500002,inner,M3H,4,84,38,14,-7355.043468221051,-7355.043466366538,1.8545124476077035e-06,0,1,4,84,70,-2700.5522609858376,-2700.5530635001164,2352,111.1,2083.1,cold,extra,extra,0,84,"[-0.89364, -17.538499, 0.651929, 3.317054, 0.891621, 2.52413, -0.29148, -2.357254]","[-0.893643, -46.057361, 0.651938, 3.317037, 0.891576, 2.524108, -0.291479, -2.357479]"
M2B,{},2,500002,inner,M3L,4,84,38,14,-7355.790577671779,-7345.676558930806,10.114018740972824,1,1,4,84,1,-2700.617362833356,-2694.5889507104835,2352,1.1,13.7,cold,extra,extra,0,84,"[-0.893622, -18.94901, 0.651278, 3.233359, 0.89598, 2.522452, -0.29122, -4.934214]","[-0.862305, -9864.342684, 0.626676, 18082.002234, 1.314243, 2.999589, -0.268355, -982.841907]"
M2B,{},2,500002,inner,M3V,4,84,38,14,-7232.588263186104,-7232.58826295471,2.313936420250684e-07,0,1,4,84,84,-2656.0603844111147,-2656.0602609410726,2352,0.8,9.6,cold,extra,extra,0,84,"[-0.903728, -18.798019, 0.660348, 3.395325, 0.811576, 2.45213, -0.582026, -0.254576]","[-0.903729, -20.643242, 0.660346, 3.39538, 0.811591, 2.452131, -0.582024, -0.254574]"
M2B,{},2,500002,outer,M2B,8,88,52,12,-9762.025428861776,-9762.025428861776,0.0,0,1,8,88,87,-2278.723209145048,-2278.723209145048,2016,0.8,2.5,cold,cold,cold:pipeline,0,88,"[2.992623, 1.533775, 2.021799, 0.141915, 0.747181, 1.00653]","[2.992623, 1.533775, 2.021799, 0.141915, 0.747181, 1.00653]"
M2B,{},2,500002,outer,M2H,8,88,52,12,-9760.381113065307,-9760.381113065017,2.892193151637912e-10,0,1,8,88,83,-2278.7431750404025,-2278.743163962662,2016,117.8,1010.6,cold,extra,extra,0,88,"[2.993314, 1.538853, 2.022013, 0.14164, 0.746316, 1.006853, -2.404359]","[2.993314, 1.538852, 2.022013, 0.14164, 0.746316, 1.006853, -2.404359]"
M2B,{},2,500002,outer,M2K,8,88,52,12,-9758.011185194357,-9758.011185109593,8.476308721583337e-08,0,1,8,88,47,-2281.070060593138,-2281.070184160773,2016,1.7,14.7,cold,challenge,challenge,1,88,"[2.982964, 1.539448, 2.094769, 0.137212, 0.796367, 1.449803, -0.805311, 0.090582]","[2.982959, 1.539446, 2.094786, 0.137215, 0.796366, 1.449812, -0.805308, 0.090566]"
M2B,{},2,500002,outer,M2S,8,88,52,12,-9762.025187621779,-9762.02518751783,1.0394978744443506e-07,0,1,8,88,87,-2278.7200173113038,-2278.7201453571292,2016,68.3,646.4,cold,extra,extra,0,88,"[2.992609, 1.533838, 2.021773, 0.141908, 0.74717, 1.006511, -5.609753]","[2.992602, 1.53384, 2.021771, 0.141908, 0.747171, 1.006508, -5.618157]"
M2B,{},2,500002,outer,M3,8,88,52,12,-9979.982482333957,-9979.982265451239,0.00021688271772291046,0,1,8,88,88,-2327.1910205611443,-2327.193928295495,2016,3.4,25.6,cold,extra,extra,0,88,"[1.999704, 42038.21946, -0.956947, -2.414431, 3.468435, 0.929849, 0.758401]","[1.999746, 49405.802563, -0.956934, -2.414052, 3.467943, 0.929941, 0.758405]"
M2B,{},2,500002,outer,M3H,8,88,52,12,-10054.700832377155,-10054.700832243274,1.3388125807978213e-07,0,1,8,88,77,-2341.861053143065,-2341.861415907225,2016,316.5,3394.3,cold,extra,extra,0,88,"[-0.889467, -89.309596, 0.648181, 3.275577, 0.953568, 2.559734, -0.293103, -2.453697]","[-0.889461, -786.094817, 0.648181, 3.275767, 0.953553, 2.559749, -0.293101, -2.453689]"
M2B,{},2,500002,outer,M3L,8,88,52,12,-10055.491442800496,-10039.820166145259,15.671276655237307,1,1,8,88,2,-2341.870446227366,-2339.8290765158868,2016,2.0,18.5,cold,challenge,challenge,0,88,"[-0.889264, -18.928548, 0.647736, 3.213456, 0.956471, 2.558971, -0.292822, -5.153114]","[-0.865476, -3819.895287, 0.628099, 8056.971318, 1.366089, 2.999429, -0.270606, -438.951843]"
M2B,{},2,500002,outer,M3V,8,88,52,12,-9887.601150443055,-9887.601150121056,3.2199932320509106e-07,0,1,8,88,88,-2299.0686707022724,-2299.068756704344,2016,1.5,12.4,cold,challenge,challenge,0,88,"[-0.898668, -19.122149, 0.656415, 3.361956, 0.866435, 2.494792, -0.580331, -0.255268]","[-0.898669, -20.383225, 0.656417, 3.361955, 0.866428, 2.494788, -0.580328, -0.255271]"
M2B,{},3,500003,inner,M2B,4,84,38,14,-7191.265479940837,-7191.265479940057,7.803464541211724e-10,0,1,4,84,80,-2627.7882690949796,-2627.7882272950837,2352,0.1,2.6,cold,extra,extra,0,84,"[2.962064, 1.408198, 2.051062, 0.147583, 0.756397, 0.994727]","[2.962064, 1.4082, 2.051061, 0.147583, 0.756397, 0.994726]"
M2B,{},3,500003,inner,M2H,4,84,38,14,-7188.550340933181,-7188.550340932408,7.73070496506989e-10,0,1,4,84,82,-2628.0791340161104,-2628.0791180319115,2352,27.2,666.5,cold,extra,extra,0,84,"[2.966196, 1.419252, 2.04969, 0.147241, 0.754998, 0.995365, -2.125008]","[2.966197, 1.419252, 2.049689, 0.147242, 0.754998, 0.995365, -2.125006]"
M2B,{},3,500003,inner,M2K,4,84,38,14,-7191.193252042654,-7191.193251634308,4.0834675019141287e-07,0,1,4,84,84,-2627.9559696647425,-2627.955881496021,2352,0.6,12.9,cold,extra,extra,1,84,"[2.957666, 1.407946, 1.915481, 0.171855, 0.834076, 0.689699, 0.411168, 0.03956]","[2.957663, 1.407974, 1.915344, 0.171886, 0.83407, 0.689663, 0.411132, 0.039706]"
M2B,{},3,500003,inner,M2S,4,84,38,14,-7191.2654806916125,-7191.2654801862445,5.053680069977418e-07,0,1,4,84,84,-2627.7881970437443,-2627.7886902299097,2352,21.6,461.2,cold,extra,extra,0,84,"[2.962058, 1.408213, 2.051052, 0.147582, 0.756398, 0.994719, -10.365327]","[2.962069, 1.408184, 2.051063, 0.147582, 0.756397, 0.994726, -11.371397]"
M2B,{},3,500003,inner,M3,4,84,38,14,-7359.09428470714,-7359.09361415352,0.0006705536197841866,0,1,4,84,84,-2707.4910951845773,-2707.4885674024295,2352,0.9,18.0,cold,extra,extra,0,84,"[1.999659, 35761.222926, -0.978959, -2.348316, 3.384003, 0.90802, 0.766287]","[1.999767, 54118.115874, -0.978934, -2.348536, 3.384235, 0.90818, 0.766286]"
M2B,{},3,500003,inner,M3H,4,84,38,14,-7416.711227070444,-7416.711225613688,1.4567558537237346e-06,0,1,4,84,58,-2733.7367047928965,-2733.736787695865,2352,96.4,1997.0,cold,extra,extra,0,84,"[-0.915594, -17.591477, 0.64858, 2.777851, 0.943819, 2.493935, -0.287672, -2.21241]","[-0.915601, -45.247546, 0.648585, 2.777841, 0.943816, 2.493934, -0.287671, -2.212523]"
M2B,{},3,500003,inner,M3L,4,84,38,14,-7417.904190418916,-7417.9041900522425,3.666737029561773e-07,0,1,4,84,84,-2733.4151033982107,-2733.4164569035097,2352,0.7,13.1,cold,challenge,challenge,0,84,"[-0.916454, -18.848794, 0.64949, 2.73262, 0.934306, 2.487153, -0.28699, -4.841081]","[-0.916461, -29.438404, 0.649498, 2.732612, 0.934256, 2.487129, -0.286992, -5.99814]"
M2B,{},3,500003,inner,M3V,4,84,38,14,-7288.290218755457,-7288.290217391732,1.3637254596687853e-06,0,1,4,84,84,-2674.8736398495307,-2674.8726039605385,2352,0.5,9.4,cold,challenge,challenge,0,84,"[-0.929998, -17.819728, 0.660349, 2.986763, 0.829166, 2.405187, -0.590583, -0.247418]","[-0.929998, -30.458958, 0.660352, 2.986497, 0.829194, 2.405204, -0.590592, -0.247427]"
M2B,{},3,500003,outer,M2B,8,88,52,12,-9818.012673113633,-9818.01267311359,4.3655745685100555e-11,0,1,8,88,88,-2295.6846849632666,-2295.684684062127,2016,0.3,3.0,cold,extra,extra,0,88,"[2.968207, 1.474368, 2.030845, 0.151212, 0.754397, 0.992751]","[2.968207, 1.474368, 2.030845, 0.151212, 0.754397, 0.992751]"
M2B,{},3,500003,outer,M2H,8,88,52,12,-9815.496855048055,-9815.496855048055,0.0,0,1,8,87,84,-2297.0601116703815,-2297.0601116703815,2016,82.6,948.0,cold,cold,cold:pipeline,0,88,"[2.97007, 1.48469, 2.029547, 0.151177, 0.753315, 0.992788, -2.253918]","[2.97007, 1.48469, 2.029547, 0.151177, 0.753315, 0.992788, -2.253918]"
M2B,{},3,500003,outer,M2K,8,88,52,12,-9817.704663884899,-9817.704663819452,6.544723873957992e-08,0,1,8,88,88,-2295.9688327066206,-2295.9687647136093,2016,1.5,17.3,cold,extra,extra,1,88,"[2.996715, 1.471352, 2.14048, 0.125891, 0.808099, 0.857278, 0.327905, -0.163092]","[2.996717, 1.471358, 2.140493, 0.125891, 0.808084, 0.857323, 0.327845, -0.163087]"
M2B,{},3,500003,outer,M2S,8,88,52,12,-9817.997446503192,-9817.997446496423,6.768459570594132e-09,0,1,8,88,87,-2295.8176802613966,-2295.8177119997335,2016,53.4,568.2,cold,challenge,challenge,0,88,"[2.968176, 1.474256, 2.03099, 0.151135, 0.754305, 0.992846, -4.578263]","[2.968176, 1.474262, 2.030988, 0.151135, 0.754305, 0.992845, -4.578345]"
M2B,{},3,500003,outer,M3,8,88,52,12,-10066.19082872083,-10066.19082872083,0.0,0,1,8,88,88,-2353.5300829278053,-2353.5300829278053,2016,2.7,28.2,cold,cold,cold:pipeline,0,88,"[1.999775, 55321.816588, -0.977237, -2.341426, 3.372044, 0.928312, 0.765927]","[1.999775, 55321.816588, -0.977237, -2.341426, 3.372044, 0.928312, 0.765927]"
M2B,{},3,500003,outer,M3H,8,88,52,12,-10148.909471236664,-10148.909471236664,0.0,0,1,8,88,22,-2378.758318766675,-2378.758318766675,2016,296.0,2868.0,cold,cold,cold:pipeline,0,88,"[-0.909073, -30.137227, 0.638839, 2.536437, 1.049928, 2.508758, -0.290095, -2.413911]","[-0.909073, -30.137227, 0.638839, 2.536437, 1.049928, 2.508758, -0.290095, -2.413911]"
M2B,{},3,500003,outer,M3L,8,88,52,12,-10149.717025364165,-10149.717024949061,4.151042958255857e-07,0,1,8,88,88,-2377.873862381647,-2377.8737924823427,2016,1.5,17.1,cold,extra,extra,0,88,"[-0.909228, -18.525781, 0.639043, 2.503137, 1.046779, 2.505898, -0.289746, -4.621265]","[-0.909223, -18.999051, 0.639038, 2.503168, 1.04679, 2.505903, -0.289745, -4.703561]"
M2B,{},3,500003,outer,M3V,8,88,52,12,-9961.981121168768,-9961.981120906354,2.6241468731313944e-07,0,1,8,88,88,-2332.766179331309,-2332.7667385342093,2016,1.3,12.4,cold,extra,extra,0,88,"[-0.92344, -21.319483, 0.650583, 2.881481, 0.89826, 2.418565, -0.599055, -0.244671]","[-0.923442, -20.466894, 0.650583, 2.881552, 0.898288, 2.418579, -0.599053, -0.244669]"
M2B,{},4,500004,inner,M2B,4,84,38,14,-7150.669567802811,-7150.669567802688,1.227817847393453e-10,0,1,4,84,81,-2649.2317337009217,-2649.2317413278183,2352,0.1,2.5,cold,extra,extra,0,84,"[3.007936, 1.387582, 2.021322, 0.160641, 0.753432, 0.989636]","[3.007936, 1.387582, 2.021322, 0.160641, 0.753432, 0.989636]"
M2B,{},4,500004,inner,M2H,4,84,38,14,-7150.669568867151,-7150.669568226665,6.404852683772333e-07,0,1,4,84,82,-2649.2319479496978,-2649.2314550710566,2352,38.6,785.5,cold,extra,extra,0,84,"[3.00792, 1.387574, 2.021332, 0.160639, 0.753434, 0.989641, -9.983646]","[3.007935, 1.387585, 2.021324, 0.160643, 0.753432, 0.989638, -10.291386]"
M2B,{},4,500004,inner,M2K,4,84,38,14,-7150.574785277859,-7150.574785264729,1.3129465514793992e-08,0,1,4,84,83,-2649.2130470649195,-2649.2130526645824,2352,0.6,11.3,cold,challenge,challenge,1,84,"[3.025079, 1.388121, 2.23827, 0.166205, 0.750137, 1.324572, -0.345921, -0.100287]","[3.025078, 1.388123, 2.238271, 0.166205, 0.750136, 1.324562, -0.3459, -0.100293]"
M2B,{},4,500004,inner,M2S,4,84,38,14,-7150.669568874677,-7150.669568034205,8.404713298659772e-07,0,1,4,84,82,-2649.231710875201,-2649.2317242936138,2352,22.1,491.4,cold,extra,extra,0,84,"[3.007938, 1.387557, 2.021333, 0.160644, 0.753433, 0.989643, -10.502753]","[3.00793, 1.387586, 2.021322, 0.160642, 0.753432, 0.989635, -11.400523]"
